ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,7869,75.51,364,426,3896,495,463
936,Aragón,3078,201.17,190,251,1505,189,440
951,Asturias,1522,101.29,87,76,766,89,190
947,Baleares,1271,89.17,114,71,634,14,422
948,Canarias,1564,56.47,128,78,632,74,123
937,Cantabria,1384,201.18,60,68,619,63,99
939,Castilla La Mancha,9324,388.66,360,989,3133,801,657
938,Castilla y León,8332,286.14,348,786,2664,457,2021
940,Cataluña,24734,267.5,2108,2508,17678,1274,8635
941,Ceuta y Melilla,152,71.33,7,3,45,20,11
944,C. Valenciana,6901,110.68,386,571,1977,277,695
945,Extremadura,1979,152.19,64,208,453,86,205
946,Galicia,5625,181,178,159,1767,406,531
942,Madrid,36249,410.12,1498,4723,14741,2061,15362
952,Murcia,1188,63.46,79,51,434,43,113
943,Navarra,2972,352.79,120,171,1341,136,311
950,País Vasco,8187,292.69,377,477,4522,360,3098
949,La Rioja,2405,581.13,64,128,805,181,843
