ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,683,7.97,13,11
936,Aragón,207,15.69,9,12
951,Asturias,193,18.77,5,1
947,Baleares,92,7.83,4,1
948,Canarias,148,6.55,13,2
937,Cantabria,58,8.26,2,0
939,Castilla La Mancha,567,27.55,23,17
938,Castilla y León,431,17.63,24,12
940,Cataluña,1394,17.97,33,18
941,Ceuta y Melilla,18,10.42,0,0
944,C. Valenciana,541,10.51,27,13
945,Extremadura,153,13.77,2,3
946,Galicia,292,10.82,9,3
942,Madrid,4871,72.37,340,355
952,Murcia,97,6.49,3,0
943,Navarra,313,47.69,10,2
950,País Vasco,765,34.06,33,36
949,La Rioja,355,111.11,13,5
