ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12668,1.63,772,1404,6261,8
936,Aragón,5680,17.28,267,826,2644,9
951,Asturias,2421,3.42,122,310,1097,19
947,Baleares,2137,6,165,209,1168,0
948,Canarias,2343,2.88,180,151,948,9
937,Cantabria,2298,6.71,79,202,1042,0
939,Castilla La Mancha,17184,20.37,650,2945,9292,7
938,Castilla y León,18804,23.67,548,1923,8581,12
940,Cataluña,59003,39.74,2984,5587,29291,88
941,Ceuta y Melilla,266,17.67,7,6,56,0
944,C. Valenciana,11199,5.14,735,1332,5747,5
945,Extremadura,2964,2.44,110,508,1768,0
946,Galicia,9120,2.85,329,609,2919,1
942,Madrid,68740,23.52,3544,8691,42011,95
952,Murcia,1597,2.61,112,148,683,1
943,Navarra,5247,19.87,135,490,2036,9
950,País Vasco,13506,6.25,574,1424,6959,5
949,La Rioja,4051,7.89,91,360,1484,3
