ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,115,1.35,4,0
936,Aragón,64,4.85,3,6
951,Asturias,47,4.6,2,1
947,Baleares,22,1.83,2,1
948,Canarias,51,2.09,3,0
937,Cantabria,16,2.75,0,0
939,Castilla La Mancha,115,5.66,9,1
938,Castilla y León,92,3.83,4,0
940,Cataluña,260,3.36,0,4
941,Ceuta y Melilla,0,0,0,0
944,C. Valenciana,76,1.48,2,1
945,Extremadura,19,1.78,1,1
946,Galicia,35,1.3,2,0
942,Madrid,1388,20.77,135,56
952,Murcia,26,1.74,1,0
943,Navarra,73,11.16,3,0
950,País Vasco,346,15.67,18,11
949,La Rioja,205,64.71,1,2
