ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12287,9.35,742,1301,6038,19,8435
936,Aragón,5274,30.85,263,815,2578,16,2953
951,Asturias,2336,8.7,144,292,2141,10,983
947,Baleares,1935,9.92,168,202,1135,6,1374
948,Canarias,2240,4.64,176,148,927,5,1318
937,Cantabria,2232,30.46,79,201,1022,12,1786
939,Castilla La Mancha,16237,42.9,617,2713,8828,53,5981
938,Castilla y León,17716,84.35,543,1876,8357,91,7231
940,Cataluña,51733,80.64,2949,5471,28608,543,23664
941,Ceuta y Melilla,228,12.25,7,6,55,0,262
944,C. Valenciana,10619,13.59,706,1309,5287,27,8181
945,Extremadura,2900,17.05,109,472,1678,23,2312
946,Galicia,9184,38.64,321,588,2857,50,7138
942,Madrid,64333,57.15,3493,8552,41304,148,38975
952,Murcia,1504,2.41,113,137,659,3,1662
943,Navarra,5006,64.96,135,484,2015,23,2827
950,País Vasco,13101,40.63,566,1390,6818,60,13540
949,La Rioja,3992,63.76,91,342,1469,6,2526
