ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12609,1.68,770,1404,6245,4
936,Aragón,5638,20.92,267,826,2642,15
951,Asturias,2399,2.25,122,310,1099,0
947,Baleares,2118,10.79,165,209,1163,5
948,Canarias,2326,2.74,179,151,946,3
937,Cantabria,2289,5.85,79,202,1042,0
939,Castilla La Mancha,16984,19.73,647,2945,9251,0
938,Castilla y León,18631,23.63,547,1922,8563,9
940,Cataluña,57749,34.12,2977,5583,29137,93
941,Ceuta y Melilla,250,8.82,7,6,56,0
944,C. Valenciana,11100,5.7,719,1332,5739,6
945,Extremadura,2955,2.72,110,507,1765,0
946,Galicia,9113,3.3,329,608,2917,2
942,Madrid,68266,26.61,3544,8691,41945,81
952,Murcia,1588,3.15,112,148,674,1
943,Navarra,5206,19.57,135,490,2034,7
950,País Vasco,13504,10.01,574,1424,6956,5
949,La Rioja,4044,10.1,91,360,1483,0
