ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12600,3.96,766,1391,6230,3
936,Aragón,5646,25.01,257,858,2452,19
951,Asturias,2397,3.13,121,308,1095,2
947,Baleares,2041,8.26,168,222,1141,2
948,Canarias,2322,2.97,179,157,942,1
937,Cantabria,2289,7.74,79,209,1039,2
939,Castilla La Mancha,16889,26.86,642,2940,9195,34
938,Castilla y León,18789,34.88,557,1961,8751,52
940,Cataluña,57148,19.71,2969,6701,29497,52
941,Ceuta y Melilla,124,16.51,4,4,12,0
944,C. Valenciana,11073,6.06,733,1393,5739,22
945,Extremadura,3047,4.31,110,506,1781,0
946,Galicia,9105,4.59,336,613,2953,7
942,Madrid,67871,29.22,3635,8977,42692,26
952,Murcia,1579,4.48,112,149,685,1
943,Navarra,5219,25.53,137,509,2050,14
950,País Vasco,13476,11.82,578,1494,7042,9
949,La Rioja,4036,8.84,91,358,1505,0
