ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,554,6.44,11,7
936,Aragón,174,13.19,7,11
951,Asturias,177,17.21,3,1
947,Baleares,73,6.18,4,1
948,Canarias,119,5.2,9,1
937,Cantabria,58,8.26,2,0
939,Castilla La Mancha,567,27.74,23,17
938,Castilla y León,334,13.79,24,9
940,Cataluña,903,11.57,33,12
941,Ceuta y Melilla,9,5.22,0,0
944,C. Valenciana,409,7.87,4,5
945,Extremadura,111,9.83,1,2
946,Galicia,245,9.08,9,2
942,Madrid,4165,62.07,253,213
952,Murcia,77,5.15,2,0
943,Navarra,274,41.73,5,1
950,País Vasco,630,28.13,29,23
949,La Rioja,312,98.17,13,4
