ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,54,0.64,1,0
936,Aragón,13,0.99,1,1
951,Asturias,7,0.68,2,0
947,Baleares,11,0.96,0,0
948,Canarias,22,1.02,0,0
937,Cantabria,12,2.07,0,0
939,Castilla La Mancha,26,1.28,2,0
938,Castilla y León,23,0.96,1,0
940,Cataluña,75,0.98,0,1
941,Ceuta y Melilla,0,0,0,0
944,C. Valenciana,37,0.74,1,1
945,Extremadura,7,0.66,0,0
946,Galicia,6,0.22,0,0
942,Madrid,469,7.04,53,8
952,Murcia,4,0.27,0,0
943,Navarra,3,0.46,1,0
950,País Vasco,149,6.75,5,5
949,La Rioja,81,25.57,1,0
