ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12679,1.59,772,1404,6263,3
936,Aragón,5695,16.52,267,826,2645,4
951,Asturias,2425,3.52,124,310,1107,2
947,Baleares,2142,5.83,165,209,1164,1
948,Canarias,2347,2.79,180,151,949,1
937,Cantabria,2303,6.54,79,202,1043,0
939,Castilla La Mancha,17259,21.99,651,2945,9307,3
938,Castilla y León,18907,25.84,549,1924,8593,11
940,Cataluña,59019,34.23,2976,5587,29133,16
941,Ceuta y Melilla,267,16.515,7,6,57,1
944,C. Valenciana,11228,4.8,735,1332,5747,6
945,Extremadura,2966,2.44,109,508,1768,0
946,Galicia,9129,2.89,329,609,2927,0
942,Madrid,68852,24.16,3544,8691,42017,18
952,Murcia,1599,2.28,112,148,677,0
943,Navarra,5259,17.12,135,490,2037,5
950,País Vasco,13511,5.66,574,1424,6961,0
949,La Rioja,4051,7.58,91,361,1484,0
