ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11913,20.32,721,1168,5793,61,5039
936,Aragón,5004,57.53,258,735,2425,19,2081
951,Asturias,2255,28.65,137,261,1843,1,780
947,Baleares,1870,26.01,166,181,1074,11,1166
948,Canarias,2187,10.63,174,133,900,9,1075
937,Cantabria,2115,72.28,78,188,1000,11,1290
939,Castilla La Mancha,15706,167.94,584,2396,8464,42,5306
938,Castilla y León,16589,182.78,522,1710,7777,185,6323
940,Cataluña,48158,168.87,2750,4808,26230,403,18319
941,Ceuta y Melilla,214,14.59,7,6,54,4,202
944,C. Valenciana,10204,24.46,659,1200,5046,24,6423
945,Extremadura,2751,34.37,108,433,1505,2,1733
946,Galicia,9328,64.12,73,412,2758,90,1841
942,Madrid,59784,176.13,3338,8048,39634,363,35841
952,Murcia,1475,10.91,106,130,629,1,1113
943,Navarra,4759,93.09,130,432,1945,26,1978
950,País Vasco,12564,60.6,539,1255,6482,51,9974
949,La Rioja,3897,150.57,87,326,1400,5,2064
