ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,9261,69.58,538,652,4599,264,1193
936,Aragón,3685,194.73,261,385,1765,136,718
951,Asturias,1737,87.6,94,110,1018,32,340
947,Baleares,1448,68.55,132,89,751,36,696
948,Canarias,1834,48.76,140,92,730,72,359
937,Cantabria,1619,163.15,71,98,720,47,214
939,Castilla La Mancha,12489,447.94,342,1322,2575,701,1766
938,Castilla y León,10518,292.97,387,1082,5523,460,3242
940,Cataluña,31043,253.43,2507,3148,20943,1396,13063
941,Ceuta y Melilla,177,74.87,7,6,49,0,23
944,C. Valenciana,7964,95.21,541,767,3815,309,1772
945,Extremadura,2273,122.13,99,283,958,89,381
946,Galicia,6758,179.4,155,231,2094,220,910
942,Madrid,43877,400.86,1433,5800,12853,1427,21121
952,Murcia,1356,50.87,87,88,533,30,219
943,Navarra,3575,330.78,124,214,1526,108,462
950,País Vasco,9806,265.43,433,689,5130,354,4514
949,La Rioja,3026,641.1,69,182,997,75,1172
