ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12298,7.55,745,1317,6069,11,8779
936,Aragón,5291,27.97,263,823,2583,17,3006
951,Asturias,2342,8.02,145,293,2166,6,1012
947,Baleares,1944,8.44,169,207,1141,9,1395
948,Canarias,2250,4.41,178,148,935,10,1342
937,Cantabria,2241,29.26,79,201,1023,9,1862
939,Castilla La Mancha,16278,37.83,621,2738,8867,41,6062
938,Castilla y León,17807,75.72,546,1885,8394,91,7317
940,Cataluña,51935,73.93,2983,5507,28687,202,24063
941,Ceuta y Melilla,229,12.26,7,6,55,1,262
944,C. Valenciana,10661,11.89,709,1315,5317,42,8796
945,Extremadura,2907,17.7,109,477,1695,7,2354
946,Galicia,9216,33.01,323,591,2876,32,7225
942,Madrid,64523,51.76,3508,8598,41436,73,39227
952,Murcia,1506,2.54,113,138,662,2,1767
943,Navarra,5039,62.98,135,487,2021,33,2917
950,País Vasco,13111,33.74,568,1403,6865,10,13985
949,La Rioja,4000,56.5,91,344,1473,8,2581
