ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,10807,45.58,671,912,5226,212,2634
936,Aragón,4566,141.44,291,543,2108,228,1087
951,Asturias,2170,76.85,116,168,1432,74,522
947,Baleares,1637,37.67,152,131,872,31,918
948,Canarias,1988,25.26,156,107,802,13,673
937,Cantabria,1845,99.3,77,137,890,22,442
939,Castilla La Mancha,15151,367.41,503,1796,7987,471,3378
938,Castilla y León,14380,292.76,307,1372,6449,683,4725
940,Cataluña,37354,202.6,2798,3855,23680,849,17297
941,Ceuta y Melilla,203,50.25,7,6,52,3,68
944,C. Valenciana,9615,66.09,625,972,4524,191,3702
945,Extremadura,2881,97.78,110,359,1186,119,649
946,Galicia,7873,112.28,123,310,2494,165,1383
942,Madrid,50694,278.22,1206,6877,9653,1168,28491
952,Murcia,1598,34.41,97,111,575,78,516
943,Navarra,4348,254.66,124,261,1752,102,845
950,País Vasco,11790,202.6,478,956,5863,315,5813
949,La Rioja,3916,578.6,75,257,1207,459,1654
