ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,10006,63.27,619,799,4950,294,1838
936,Aragón,4070,167.67,272,450,1901,101,934
951,Asturias,1892,78.61,106,140,1208,65,430
947,Baleares,1534,50.11,142,112,805,27,848
948,Canarias,1918,36.83,144,95,758,31,447
937,Cantabria,1752,125.46,75,110,805,33,297
939,Castilla La Mancha,13698,415.77,316,1543,6838,242,2365
938,Castilla y León,12118,279.39,323,1221,5957,575,4010
940,Cataluña,34027,247.56,2658,3442,22369,1043,14975
941,Ceuta y Melilla,191,84.93,7,6,52,0,35
944,C. Valenciana,8841,71.37,567,838,4149,263,2624
945,Extremadura,2580,105.27,106,312,1074,94,481
946,Galicia,7336,155.47,140,274,2306,160,1143
942,Madrid,46587,358.83,1332,6278,11424,738,24683
952,Murcia,1449,38.62,91,97,537,36,344
943,Navarra,3969,299.29,124,232,1663,152,650
950,País Vasco,10772,227.92,459,804,5547,257,4867
949,La Rioja,3279,520.84,73,219,1122,56,1420
