ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,1008,11.84,25,23
936,Aragón,281,21.22,14,15
951,Asturias,292,28.06,6,1
947,Baleares,169,14.18,7,2
948,Canarias,220,9.84,23,3
937,Cantabria,83,12.56,4,1
939,Castilla La Mancha,801,38.76,37,42
938,Castilla y León,868,35.72,54,29
940,Cataluña,2702,34.89,33,55
941,Ceuta y Melilla,24,13.89,0,0
944,C. Valenciana,921,18.03,52,24
945,Extremadura,241,22.01,3,8
946,Galicia,453,16.74,15,4
942,Madrid,6777,100.35,590,498
952,Murcia,167,11.18,6,0
943,Navarra,482,73.22,11,4
950,País Vasco,1190,53.13,44,53
949,La Rioja,468,144.26,15,5
