ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12450,1.96,750,1334,6131,0
936,Aragón,5600,20.01,267,826,2632,2
951,Asturias,2380,2.93,121,288,1090,2
947,Baleares,2035,7.48,165,211,1140,0
948,Canarias,2317,2.65,179,150,943,2
937,Cantabria,2283,6.54,79,202,1032,0
939,Castilla La Mancha,16909,17.07,626,2788,8964,0
938,Castilla y León,18555,23.34,547,1913,8546,1
940,Cataluña,57320,NA,2953,5575,28831,89
941,Ceuta y Melilla,245,9.41,7,6,56,0
944,C. Valenciana,11056,5.6,718,1331,5398,2
945,Extremadura,2952,3.18,110,506,1758,2
946,Galicia,9079,2.96,328,607,2916,0
942,Madrid,67932,28.57,3536,8686,41872,18
952,Murcia,1573,3.75,112,139,667,6
943,Navarra,5195,19.87,135,490,2033,6
950,País Vasco,13478,11.46,574,1424,6950,0
949,La Rioja,4041,10.42,91,358,1480,2
