ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12576,4.01,767,1377,6215,29
936,Aragón,5618,26.07,256,858,2447,30
951,Asturias,2376,3.72,121,307,1090,2
947,Baleares,2037,9.22,168,222,1139,13
948,Canarias,2312,3.34,179,155,943,5
937,Cantabria,2284,8.95,79,209,1038,5
939,Castilla La Mancha,16830,29.17,640,2929,9157,41
938,Castilla y León,18674,39.92,557,1961,8745,47
940,Cataluña,57036,23.43,2969,6656,29497,150
941,Ceuta y Melilla,245,10,7,6,56,5
944,C. Valenciana,11021,5.92,731,1389,5747,34
945,Extremadura,3044,5.15,110,506,1780,2
946,Galicia,9084,4.89,334,609,2947,7
942,Madrid,67425,28.29,3627,8944,42573,53
952,Murcia,1572,4.55,112,149,679,2
943,Navarra,5200,29.65,136,508,2049,5
950,País Vasco,13454,14.81,578,1487,7035,13
949,La Rioja,4036,13.89,91,356,1505,3
