ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,7374,72.34,338,376,3673,402,258
936,Aragón,2889,191.69,180,224,1431,189,378
951,Asturias,1433,106.47,86,70,702,49,154
947,Baleares,1257,91.7,112,69,587,53,375
948,Canarias,1490,55.87,120,73,605,46,102
937,Cantabria,1321,202.55,59,64,592,53,74
939,Castilla La Mancha,8523,367.9,355,916,3168,841,579
938,Castilla y León,7875,280.39,355,723,2711,520,1759
940,Cataluña,23460,263.05,2053,2335,17257,1656,7849
941,Ceuta y Melilla,132,60.22,6,3,42,15,6
944,C. Valenciana,6624,110.3,386,511,2064,316,592
945,Extremadura,1893,149.48,64,200,415,56,164
946,Galicia,5219,171.92,178,138,1630,377,435
942,Madrid,34188,405.54,1506,4483,15050,2033,13850
952,Murcia,1145,62.99,72,46,405,61,90
943,Navarra,2836,348.82,119,151,1284,154,294
950,País Vasco,7827,288.16,363,444,4283,510,2809
949,La Rioja,2224,545.14,64,109,738,141,745
