ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11020,43.72,677,967,5341,107,2948
936,Aragón,4761,134.54,243,601,2180,97,1121
951,Asturias,2272,77.92,119,187,1520,42,575
947,Baleares,1748,35.76,157,148,937,80,958
948,Canarias,2035,24.1,160,115,822,26,785
937,Cantabria,1990,96.89,78,149,911,106,534
939,Castilla La Mancha,16349,367.66,514,1913,8093,352,3838
938,Castilla y León,15293,292.89,495,1429,6831,390,5103
940,Cataluña,39943,193.56,2349,3879,22013,1627,13275
941,Ceuta y Melilla,212,42.66,7,6,53,7,83
944,C. Valenciana,9795,64.85,636,1042,4708,76,4306
945,Extremadura,3081,105.46,112,380,1240,62,736
946,Galicia,8084,103.5,115,334,2554,71,0
942,Madrid,52946,267.21,1094,7132,8597,953,30475
952,Murcia,1638,32.13,102,115,611,13,638
943,Navarra,4556,244.11,127,354,1829,123,954
950,País Vasco,12355,193.04,490,1020,6030,266,6556
949,La Rioja,3648,591.54,78,272,1249,101,1777
