ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12612,1.94,770,1404,6246,1
936,Aragón,5600,19.63,267,826,2634,0
951,Asturias,2399,2.54,122,310,1097,0
947,Baleares,2111,12.01,165,209,1163,0
948,Canarias,2323,2.79,179,150,946,6
937,Cantabria,2283,5.85,79,202,1031,0
939,Castilla La Mancha,16992,19.53,645,2945,9225,2
938,Castilla y León,18591,23.67,547,1922,8553,4
940,Cataluña,57569,33.89,2976,5583,29090,115
941,Ceuta y Melilla,245,7.06,7,7,57,0
944,C. Valenciana,11089,5.92,719,1332,5403,8
945,Extremadura,2955,3.37,110,507,1761,2
946,Galicia,9108,3.78,328,607,2917,3
942,Madrid,68066,27.76,3538,8691,41913,43
952,Murcia,1587,3.61,112,148,674,0
943,Navarra,5199,19.57,135,490,2034,5
950,País Vasco,13486,10.42,574,1424,6955,2
949,La Rioja,4044,11.36,91,360,1483,3
