ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,8581,78.68,489,491,4227,280,798
936,Aragón,3347,205.34,237,284,1637,115,565
951,Asturias,1646,102.85,90,86,846,41,222
947,Baleares,1320,80.04,121,81,683,27,531
948,Canarias,1649,54.24,133,85,651,27,157
937,Cantabria,1483,195.5,65,77,658,42,118
939,Castilla La Mancha,10602,419.31,354,1132,2901,571,1259
938,Castilla y León,9116,294.26,348,919,2508,367,2533
940,Cataluña,26824,272.29,2276,2760,19143,792,10088
941,Ceuta y Melilla,169,90.83,7,5,47,3,13
944,C. Valenciana,7334,108.58,384,637,1909,150,930
945,Extremadura,2068,147.51,66,228,453,21,223
946,Galicia,6151,183.11,170,190,1916,207,610
942,Madrid,38723,422.43,1510,5136,14501,1139,17322
952,Murcia,1259,61.18,81,68,468,24,156
943,Navarra,3231,358.45,124,187,1432,158,380
950,País Vasco,8810,289.39,410,548,4794,182,3568
949,La Rioja,2719,622.48,66,141,888,127,964
