ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12048,17.3,721,1207,5874,44,5710
936,Aragón,5091,51.54,258,739,2477,49,2291
951,Asturias,2283,19.75,137,273,1915,17,835
947,Baleares,1883,21.4,167,188,1082,4,1219
948,Canarias,2205,10.08,176,135,909,3,1131
937,Cantabria,2173,73.83,79,191,1007,27,1483
939,Castilla La Mancha,15832,133.7,592,2463,8567,47,5512
938,Castilla y León,16885,145.11,528,1752,7957,195,6569
940,Cataluña,48916,150.64,2784,4975,26763,262,19615
941,Ceuta y Melilla,215,12.85,7,6,54,0,222
944,C. Valenciana,10331,18.97,663,1236,5096,95,6886
945,Extremadura,2785,19.11,108,446,1550,21,1887
946,Galicia,8697,59.83,310,547,2747,22,5573
942,Madrid,61171,157.23,3377,8176,40076,406,36707
952,Murcia,1486,4.22,108,130,637,6,1202
943,Navarra,4815,103.02,132,451,1965,21,2113
950,País Vasco,12701,77.59,541,1296,6561,82,10936
949,La Rioja,3918,119.63,88,332,1424,8,2159
