ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12708,1.72,772,1404,6268,12
936,Aragón,5711,15.46,270,826,2656,8
951,Asturias,2425,3.23,124,310,1108,0
947,Baleares,2150,5.22,171,209,1186,1
948,Canarias,2351,2.93,180,151,950,4
937,Cantabria,2314,6.88,79,202,1045,2
939,Castilla La Mancha,17310,22.23,651,2945,9314,0
938,Castilla y León,18925,24.92,550,1924,8599,0
940,Cataluña,59035,32.25,2976,5587,29142,17
941,Ceuta y Melilla,277,21.22,7,6,58,10
944,C. Valenciana,11238,4.7,735,1332,5745,1
945,Extremadura,2971,2.62,110,508,1772,4
946,Galicia,9130,2.56,329,609,2930,0
942,Madrid,68960,23.38,3546,8691,42041,73
952,Murcia,1603,2.48,112,148,677,2
943,Navarra,5259,16.2,136,490,2038,1
950,País Vasco,13513,4.8,574,1424,6961,1
949,La Rioja,4052,6,91,361,1484,1
