ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,4277,47.63,172,175,2106,484,139
936,Aragón,1592,111.5,124,58,835,254,8
951,Asturias,1004,89.17,50,33,408,104,65
947,Baleares,862,72.56,59,26,283,107,80
948,Canarias,1025,43.42,68,36,377,147,25
937,Cantabria,937,155.92,37,22,406,127,21
939,Castilla La Mancha,4512,207.74,289,448,2977,578,197
938,Castilla y León,4791,190.37,249,321,2063,659,585
940,Cataluña,14263,179.2,1324,1070,9900,1323,3106
941,Ceuta y Melilla,62,34.31,4,2,24,3,0
944,C. Valenciana,4034,78.02,282,234,1694,502,92
945,Extremadura,1394,124.38,40,88,312,163,49
946,Galicia,2772,98.43,112,47,906,450,95
942,Madrid,21520,278.84,1404,2757,14211,2277,6326
952,Murcia,802,50.54,58,17,231,88,12
943,Navarra,1829,257.26,84,70,827,188,98
950,País Vasco,5136,209.03,176,221,2612,535,1023
949,La Rioja,1436,365.53,43,65,458,200,364
