ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12268,10.7,744,1294,6027,32,8076
936,Aragón,5258,32.21,262,800,2564,27,2880
951,Asturias,2326,9.48,143,292,2117,16,971
947,Baleares,1929,10.61,169,201,1132,8,1345
948,Canarias,2235,5.67,176,144,921,4,1258
937,Cantabria,2220,33.9,79,200,1020,7,1758
939,Castilla La Mancha,16184,51.95,613,2677,8796,40,5895
938,Castilla y León,17625,88.14,541,1864,8300,105,7149
940,Cataluña,51190,82.06,2891,5394,28248,266,23231
941,Ceuta y Melilla,228,12.83,7,6,54,0,258
944,C. Valenciana,10592,14.45,704,1303,5252,55,8010
945,Extremadura,2877,15.17,108,467,1664,12,2265
946,Galicia,9134,41.49,320,586,2833,37,6959
942,Madrid,63870,58.26,3485,8504,41159,86,38670
952,Murcia,1501,2.74,111,137,652,3,1527
943,Navarra,4983,62.06,135,480,2015,17,2732
950,País Vasco,13041,42.89,561,1383,6797,33,13070
949,La Rioja,3986,77.34,91,338,1463,6,2457
