ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11053,43.72,675,940,5298,246,2790
936,Aragón,4664,134.54,240,562,2151,98,1132
951,Asturias,2230,77.92,118,174,1474,60,545
947,Baleares,1668,35.76,152,134,905,31,938
948,Canarias,2009,24.1,159,111,811,21,730
937,Cantabria,1884,96.89,78,144,903,39,510
939,Castilla La Mancha,15997,367.66,511,1852,8018,846,3600
938,Castilla y León,14903,292.89,297,1401,6518,523,4924
940,Cataluña,38316,193.56,2305,3752,21242,962,12787
941,Ceuta y Melilla,205,42.66,7,6,53,2,74
944,C. Valenciana,9869,64.85,632,999,4605,254,4024
945,Extremadura,3019,105.46,110,372,1212,138,707
946,Galicia,8013,103.5,117,320,2535,140,1456
942,Madrid,51993,267.21,1154,7007,9141,1299,29436
952,Murcia,1625,32.13,99,112,585,27,545
943,Navarra,4433,244.11,124,338,1781,85,892
950,País Vasco,12089,193.04,484,992,5939,299,6144
949,La Rioja,4098,591.54,76,262,1226,182,1729
