ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12359,4.87,751,1336,6128,42,9918
936,Aragón,5389,22.59,265,836,2625,17,3471
951,Asturias,2356,4.89,151,308,2252,0,1046
947,Baleares,1958,6.52,171,216,1131,1,1492
948,Canarias,2275,3.25,178,151,937,4,1496
937,Cantabria,2256,14.28,79,205,1030,0,2110
939,Castilla La Mancha,16470,31.38,634,2852,8980,17,6244
938,Castilla y León,18173,53.68,548,1925,8560,68,7621
940,Cataluña,55482,50.17,3048,5823,29305,195,25849
941,Ceuta y Melilla,235,11.735,7,6,55,2,278
944,C. Valenciana,10784,9.05,717,1349,5389,24,9490
945,Extremadura,2923,12.92,109,492,1761,4,2482
946,Galicia,9317,22.97,327,601,2915,16,8157
942,Madrid,65693,38.84,3564,8779,41962,88,40199
952,Murcia,1532,3.08,112,142,672,7,1998
943,Navarra,5105,44.33,135,498,2045,11,3400
950,País Vasco,13219,23.46,577,1454,6994,5,15256
949,La Rioja,4014,30.3,91,348,1484,5,2867
