ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,2471,28.52,102,87,1132,510,66
936,Aragón,758,54.57,66,37,384,120,3
951,Asturias,662,62.57,23,22,224,68,30
947,Baleares,478,40.45,35,10,127,78,19
948,Canarias,557,24.71,36,16,207,76,8
937,Cantabria,425,71.07,16,9,200,78,12
939,Castilla La Mancha,2465,119.34,182,216,1826,387,53
938,Castilla y León,2460,100.19,137,124,1057,405,140
940,Cataluña,7864,100.84,551,282,3599,1939,728
941,Ceuta y Melilla,34,19.73,1,0,12,0,0
944,C. Valenciana,2167,42.31,161,115,917,266,37
945,Extremadura,636,58.82,20,26,161,143,8
946,Galicia,1415,51.6,55,20,338,207,19
942,Madrid,12352,173.64,1050,1535,10443,1777,2291
952,Murcia,385,25.17,26,3,99,40,1
943,Navarra,1014,153.16,45,31,405,128,11
950,País Vasco,2728,114.73,106,133,1425,307,344
949,La Rioja,802,207.7,24,30,206,55,24
