ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12207,17.05,735,1253,5962,46,6821
936,Aragón,5136,44.34,260,761,2503,20,2474
951,Asturias,2303,14.67,141,279,1974,5,890
947,Baleares,1902,15.49,167,197,1094,8,1268
948,Canarias,2212,8.22,176,140,918,6,1149
937,Cantabria,2201,53.69,79,193,1009,17,1551
939,Castilla La Mancha,15967,81.41,601,2534,8645,57,5702
938,Castilla y León,17165,118.73,531,1788,8054,172,6813
940,Cataluña,49850,129.08,2811,5137,27049,543,19913
941,Ceuta y Melilla,216,11.08,7,6,54,0,236
944,C. Valenciana,10411,16.53,695,1258,5153,64,7287
945,Extremadura,2824,15.08,108,458,1592,13,2017
946,Galicia,8902,59.6,313,557,2769,54,5981
942,Madrid,62073,75.88,3404,8292,40457,25,37530
952,Murcia,1491,4.08,110,132,639,3,1251
943,Navarra,4888,82.39,132,460,1979,40,2281
950,País Vasco,12887,60.42,551,1321,6659,63,11805
949,La Rioja,3947,114.9,88,334,1439,11,2279
