ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12726,1.78,772,1404,6275,10
936,Aragón,5731,15.16,270,826,2657,20
951,Asturias,2425,3.13,124,310,1110,0
947,Baleares,2157,5.05,171,209,1186,2
948,Canarias,2357,2.65,180,151,949,5
937,Cantabria,2316,6.2,79,202,1046,2
939,Castilla La Mancha,17355,21.15,651,2945,9323,2
938,Castilla y León,18956,23.88,550,1925,8606,4
940,Cataluña,59112,29.98,2977,5587,29154,38
941,Ceuta y Melilla,277,20.64,7,6,58,0
944,C. Valenciana,11254,4.58,736,1332,5745,13
945,Extremadura,2974,2.62,110,508,1772,2
946,Galicia,9132,2.37,329,609,2930,2
942,Madrid,69112,22.75,3546,8691,42041,112
952,Murcia,1605,2.28,112,148,677,2
943,Navarra,5261,15.13,136,490,2038,2
950,País Vasco,13523,4.48,574,1424,6962,3
949,La Rioja,4053,5.37,91,361,1484,0
