ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12004,18.75,722,1188,5832,91,5272
936,Aragón,5042,53.36,258,736,2454,38,2189
951,Asturias,2266,25.32,137,266,1886,11,809
947,Baleares,1879,23.75,166,185,1079,9,1196
948,Canarias,2202,10.54,176,134,906,15,1107
937,Cantabria,2146,72.97,79,191,1006,31,1372
939,Castilla La Mancha,15785,154.56,588,2436,8523,79,5382
938,Castilla y León,16690,165.45,524,1736,7854,101,6448
940,Cataluña,48654,158.29,2768,4905,26546,496,19060
941,Ceuta y Melilla,215,13.425,7,6,54,1,209
944,C. Valenciana,10236,20.88,662,1218,5072,32,6599
945,Extremadura,2764,28.28,108,440,1526,13,1797
946,Galicia,9466,65.12,308,547,2736,138,5393
942,Madrid,60765,168.67,3355,8105,39850,981,36314
952,Murcia,1480,9.04,106,130,635,5,1153
943,Navarra,4794,115.41,130,448,1951,35,2082
950,País Vasco,12619,97.07,540,1274,6522,55,10474
949,La Rioja,3910,142.99,87,330,1413,13,2091
