ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,219,2.53,8,0
936,Aragón,80,6.06,3,7
951,Asturias,67,6.55,2,1
947,Baleares,30,2.52,2,1
948,Canarias,70,2.97,2,0
937,Cantabria,29,4.99,0,0
939,Castilla La Mancha,194,9.54,10,5
938,Castilla y León,169,6.96,8,1
940,Cataluña,316,4.08,25,4
941,Ceuta y Melilla,2,2.31,0,0
944,C. Valenciana,94,1.72,2,1
945,Extremadura,39,3.65,1,1
946,Galicia,85,3.15,2,0
942,Madrid,1990,29.79,180,81
952,Murcia,35,2.34,1,0
943,Navarra,130,19.87,4,0
950,País Vasco,417,18.89,20,14
949,La Rioja,243,76.71,2,2
