ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,8301,78.15,474,470,4107,432,665
936,Aragón,3232,204.66,233,270,1588,154,537
951,Asturias,1605,103.64,90,80,808,83,216
947,Baleares,1293,83.69,120,75,664,22,461
948,Canarias,1622,56.1,129,80,644,58,137
937,Cantabria,1441,199.46,62,68,639,57,113
939,Castilla La Mancha,10031,403.96,357,1055,2950,707,1149
938,Castilla y León,8749,291.93,351,847,2574,417,2331
940,Cataluña,26032,277.88,2249,2637,18656,1298,9528
941,Ceuta y Melilla,166,79.54,7,4,47,14,13
944,C. Valenciana,7184,111.52,381,613,1901,283,812
945,Extremadura,2047,155.75,66,218,417,68,215
946,Galicia,5944,186.29,170,174,1831,319,587
942,Madrid,37584,418.44,1499,4941,14551,1335,16543
952,Murcia,1235,62.86,80,59,447,47,130
943,Navarra,3073,348.36,123,178,1399,101,334
950,País Vasco,8628,295.82,404,515,4666,441,3405
949,La Rioja,2592,611.75,66,134,855,187,904
