ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,1961,22.66,77,58,865,236,50
936,Aragón,638,47.37,52,32,298,106,3
951,Asturias,594,57.39,22,12,194,49,21
947,Baleares,400,33.84,27,10,87,69,18
948,Canarias,481,21.32,32,11,172,67,7
937,Cantabria,347,57.65,14,6,157,65,11
939,Castilla La Mancha,2078,100.94,142,145,1547,259,51
938,Castilla y León,2055,84.68,120,102,860,311,117
940,Cataluña,5925,76.22,551,245,1681,1221,644
941,Ceuta y Melilla,34,19.73,1,0,12,4,0
944,C. Valenciana,1901,37.25,138,94,702,297,36
945,Extremadura,493,45.52,13,18,131,109,6
946,Galicia,1208,44.53,47,18,270,293,19
942,Madrid,10575,151.66,942,1263,9561,873,2063
952,Murcia,345,22.83,23,2,80,49,1
943,Navarra,886,134.97,40,24,339,92,7
950,País Vasco,2421,102.91,92,120,1252,324,283
949,La Rioja,747,210.23,22,22,166,93,18
