ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12502,3.71,764,1371,6196,13,NA
936,Aragón,5551,24.26,267,843,2667,31,NA
951,Asturias,2374,4.69,119,304,1089,1,NA
947,Baleares,2018,8.61,169,221,1144,13,NA
948,Canarias,2300,3.2,179,155,943,6,NA
937,Cantabria,2277,11.01,79,209,1036,4,NA
939,Castilla La Mancha,16739,29.27,639,2913,9122,62,NA
938,Castilla y León,18586,44.43,555,1960,8734,37,NA
940,Cataluña,55888,30.76,2969,6021,29497,63,NA
941,Ceuta y Melilla,240,7.06,7,6,55,2,NA
944,C. Valenciana,10949,5.8,727,1378,5742,22,NA
945,Extremadura,3040,8.05,110,504,1780,2,NA
946,Galicia,9067,6.15,334,607,2939,9,NA
942,Madrid,66860,31.2,3610,8912,42422,112,NA
952,Murcia,1560,4.15,112,148,679,2,NA
943,Navarra,5136,33.17,136,503,2048,5,NA
950,País Vasco,13435,14.81,578,1480,7024,26,NA
949,La Rioja,4033,16.73,91,353,1499,6,NA
