ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,3406,38.96,134,134,1626,396,77
936,Aragón,1116,79.43,93,48,562,209,4
951,Asturias,841,77.84,34,27,300,62,40
947,Baleares,660,53.23,43,17,205,98,39
948,Canarias,784,33.01,45,24,279,127,18
937,Cantabria,671,112.55,26,17,300,161,14
939,Castilla La Mancha,3383,160.32,243,316,2162,603,95
938,Castilla y León,3488,141.33,202,206,1515,548,308
940,Cataluña,11592,148.92,1021,672,7439,1655,1697
941,Ceuta y Melilla,49,11.84,4,1,18,1,0
944,C. Valenciana,3200,62.5,230,167,1278,584,57
945,Extremadura,969,89.39,34,58,241,227,24
946,Galicia,1915,69.66,86,32,503,262,47
942,Madrid,17166,236,1221,2090,12440,2569,3882
952,Murcia,596,38.14,36,8,172,119,9
943,Navarra,1411,205.05,54,49,649,214,35
950,País Vasco,3946,164.99,137,180,1907,675,621
949,La Rioja,995,251.2,36,43,316,67,48
