ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12673,1.57,772,1404,6262,5
936,Aragón,5691,17.21,267,826,2645,11
951,Asturias,2424,3.72,124,310,1107,2
947,Baleares,2141,5.92,165,209,1168,0
948,Canarias,2345,2.74,180,151,949,2
937,Cantabria,2303,6.88,79,202,1043,2
939,Castilla La Mancha,17234,21.6,651,2945,9303,6
938,Castilla y León,18863,24.63,549,1924,8590,17
940,Cataluña,59013,39.74,2976,5587,29132,10
941,Ceuta y Melilla,266,16.52,7,6,56,0
944,C. Valenciana,11201,4.6,735,1332,5747,0
945,Extremadura,2966,2.53,110,508,1768,2
946,Galicia,9119,2.67,329,609,2924,0
942,Madrid,68830,24.36,3544,8691,42014,32
952,Murcia,1597,2.54,112,148,683,0
943,Navarra,5254,20.02,135,490,2037,7
950,País Vasco,13508,5.75,574,1424,6959,0
949,La Rioja,4051,7.58,91,361,1484,0
