ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12655,1.71,770,1404,6261,7
936,Aragón,5671,18.49,267,826,2643,14
951,Asturias,2401,1.66,122,310,1097,1
947,Baleares,2129,6.61,165,209,1163,1
948,Canarias,2333,2.65,179,151,946,5
937,Cantabria,2298,6.71,79,202,1042,1
939,Castilla La Mancha,17122,19.68,649,2945,9280,3
938,Castilla y León,18747,23.71,547,1922,8576,7
940,Cataluña,58699,39.62,2982,5584,29254,47
941,Ceuta y Melilla,145,33.03,4,4,12,6
944,C. Valenciana,11191,5.6,735,1334,5739,11
945,Extremadura,2963,2.62,110,507,1766,2
946,Galicia,9117,3.11,329,608,2918,1
942,Madrid,68597,24.01,3544,8691,41993,61
952,Murcia,1595,2.88,112,148,680,1
943,Navarra,5238,19.72,135,490,2036,15
950,País Vasco,13494,6.61,574,1424,6957,2
949,La Rioja,4048,9.15,91,360,1484,2
