ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11205,34.51,687,993,5424,185,3116
936,Aragón,4831,121.2,246,619,2216,70,1175
951,Asturias,2298,67.76,120,196,1571,26,596
947,Baleares,1773,41.76,160,155,955,25,993
948,Canarias,2047,19.74,162,119,825,12,789
937,Cantabria,2050,104.81,78,153,924,60,610
939,Castilla La Mancha,16625,324.37,518,1963,8137,276,3963
938,Castilla y León,15621,286.39,498,1458,6981,328,5262
940,Cataluña,40600,189.81,2395,3933,22235,657,13691
941,Ceuta y Melilla,213,39.65,7,6,53,1,59
944,C. Valenciana,9937,55.02,643,1065,4781,142,103
945,Extremadura,3136,101.99,112,384,1278,55,767
946,Galicia,8185,83.02,112,346,2590,101,NA
942,Madrid,54884,259.63,1123,7239,8291,1938,31313
952,Murcia,1644,27.38,102,116,612,6,652
943,Navarra,4621,236.62,127,369,1843,65,992
950,País Vasco,12569,178.51,499,1062,6086,214,6972
949,La Rioja,3705,351.33,79,277,1268,57,1816
