ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12194,14.24,738,1263,5973,19,7021
936,Aragón,5188,40.48,260,762,2526,24,2624
951,Asturias,2306,12.22,142,284,2014,1,917
947,Baleares,1908,13.83,167,197,1102,0,1294
948,Canarias,2225,7.34,175,141,919,4,1166
937,Cantabria,2206,40.1,79,197,1011,1,1610
939,Castilla La Mancha,16050,65.18,606,2590,8698,33,5794
938,Castilla y León,17334,106.4,534,1818,8123,51,6900
940,Cataluña,50366,113.22,2847,5220,27321,132,21898
941,Ceuta y Melilla,220,13.39,7,6,54,2,243
944,C. Valenciana,10436,14.55,700,1269,5204,0,7506
945,Extremadura,2849,14.7,108,460,1618,5,2090
946,Galicia,9011,55.68,315,569,2782,44,6234
942,Madrid,62395,69.23,3431,8376,40741,1,37808
952,Murcia,1492,3.48,110,134,645,0,1277
943,Navarra,4918,71.69,133,466,1990,16,2494
950,País Vasco,12952,52.68,554,1341,6719,14,12155
949,La Rioja,3961,93.75,88,335,1449,9,2312
