ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,10187,56.83,621,815,4993,181,1967
936,Aragón,4187,159.86,274,464,1938,117,946
951,Asturias,1958,78.22,110,149,1265,66,434
947,Baleares,1550,47.85,143,117,811,16,862
948,Canarias,1944,34.36,145,96,763,26,458
937,Cantabria,1777,116.51,75,117,827,25,317
939,Castilla La Mancha,14054,403.18,475,1626,7782,356,2532
938,Castilla y León,12628,284.51,312,1263,6077,510,4154
940,Cataluña,34726,241.93,2713,3538,22780,699,15602
941,Ceuta y Melilla,196,70.19,7,6,52,5,38
944,C. Valenciana,9060,78.94,576,876,4269,219,2803
945,Extremadura,2658,102.84,108,321,1096,78,511
946,Galicia,7494,139.69,136,284,2344,158,1186
942,Madrid,47146,346.01,1327,6423,11233,559,25385
952,Murcia,1463,35.08,94,101,543,14,353
943,Navarra,4092,297.46,124,239,1693,123,695
950,País Vasco,11018,224.71,464,831,5622,246,5026
949,La Rioja,3358,512.95,73,223,1141,79,1458
