ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12547,3.86,766,1375,6210,45
936,Aragón,5588,25.01,256,848,2442,37
951,Asturias,2374,4.3,121,307,1089,0
947,Baleares,2024,8.61,169,221,1144,8
948,Canarias,2307,3.34,179,155,944,7
937,Cantabria,2279,10.15,79,209,1036,2
939,Castilla La Mancha,16789,29.76,639,2919,9138,50
938,Castilla y León,18627,41.76,561,1960,8735,41
940,Cataluña,55888,NA,2969,6021,29497,NA
941,Ceuta y Melilla,240,7.06,7,6,55,0
944,C. Valenciana,10987,5.86,730,1383,5747,38
945,Extremadura,3042,7.12,110,505,1780,2
946,Galicia,9077,5.85,334,608,2943,10
942,Madrid,67049,29.35,3617,8931,42497,82
952,Murcia,1570,4.62,112,149,680,10
943,Navarra,5195,32.41,136,506,2048,3
950,País Vasco,13421,16.62,578,1483,7032,9
949,La Rioja,4033,14.84,91,354,1504,0
