ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12450,3.7,760,1358,6174,30,10611
936,Aragón,5478,23.8,266,838,2655,22,3727
951,Asturias,2366,5.28,153,315,2311,0,1061
947,Baleares,1991,7.39,170,218,1136,9,1523
948,Canarias,2289,3.16,178,151,939,5,1524
937,Cantabria,2268,10.84,79,207,1033,3,2270
939,Castilla La Mancha,16618,29.56,637,2893,9054,31,6378
938,Castilla y León,18470,49.47,550,1946,8690,101,8716
940,Cataluña,55824,37.16,3062,5944,29449,116,26172
941,Ceuta y Melilla,237,11.16,7,6,55,2,287
944,C. Valenciana,10893,9.13,723,1366,5454,43,9907
945,Extremadura,2947,9.65,110,500,1775,3,2636
946,Galicia,9051,7.93,332,606,2926,10,9155
942,Madrid,66338,38.18,3584,8847,42227,6,40698
952,Murcia,1551,3.95,112,144,676,9,2084
943,Navarra,5148,37.6,136,503,2045,11,3751
950,País Vasco,13407,16.71,578,1459,7015,16,16028
949,La Rioja,4024,22.73,91,349,1496,4,3048
