ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12597,4.12,766,1389,6229,21
936,Aragón,5627,25.47,257,858,2451,9
951,Asturias,2377,3.23,121,307,1092,1
947,Baleares,2039,8.61,168,222,1141,2
948,Canarias,2321,3.3,179,157,942,9
937,Cantabria,2287,7.92,79,209,1039,3
939,Castilla La Mancha,16855,28.38,641,2934,9178,25
938,Castilla y León,18737,38.13,557,1961,8749,63
940,Cataluña,57114,21.99,2969,6663,29497,92
941,Ceuta y Melilla,246,10,7,6,56,1
944,C. Valenciana,11051,5.82,733,1390,5738,30
945,Extremadura,3048,4.87,110,507,1782,4
946,Galicia,9098,4.96,335,610,2952,14
942,Madrid,67610,27.1,3634,8956,42632,68
952,Murcia,1575,4.48,112,149,685,1
943,Navarra,5205,25.37,137,509,2050,5
950,País Vasco,13467,12.86,578,1494,7039,13
949,La Rioja,4036,11.36,91,357,1505,0
