ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,1725,20.1,55,47,724,210
936,Aragón,532,39.49,45,24,241,108
951,Asturias,545,52.6,15,8,171,59
947,Baleares,331,28.1,14,4,79,85
948,Canarias,414,18.44,32,9,150,66
937,Cantabria,282,46.47,9,5,116,67
939,Castilla La Mancha,1819,88.74,76,112,838,396
938,Castilla y León,1744,71.76,106,74,709,278
940,Cataluña,4704,60.65,298,191,1681,501
941,Ceuta y Melilla,30,17.41,1,0,12,0
944,C. Valenciana,1604,31.32,113,69,590,241
945,Extremadura,384,35.4,8,14,87,30
946,Galicia,915,33.71,35,12,227,176
942,Madrid,9702,142.98,834,1021,8441,781
952,Murcia,296,19.75,16,1,78,56
943,Navarra,794,120.91,30,14,288,130
950,País Vasco,2097,91.81,81,97,988,372
949,La Rioja,654,189.08,17,18,134,90
