ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,8767,74.83,499,528,4335,186,900
936,Aragón,3449,203.97,247,312,1663,102,578
951,Asturias,1679,99.43,91,96,889,33,244
947,Baleares,1369,77.51,124,84,705,49,537
948,Canarias,1725,54.24,137,89,689,76,186
937,Cantabria,1501,185.17,66,85,677,18,129
939,Castilla La Mancha,11077,423.64,360,1177,2908,475,1353
938,Castilla y León,9581,296.76,346,982,5180,465,2711
940,Cataluña,28323,266.56,2391,2908,19745,1499,10738
941,Ceuta y Melilla,175,82.42,7,6,49,6,13
944,C. Valenciana,7443,105.44,384,672,1887,109,1103
945,Extremadura,2116,138.61,70,258,686,48,282
946,Galicia,6331,182.11,162,204,1968,180,688
942,Madrid,40469,421.96,1494,5371,13950,1746,18410
952,Murcia,1283,60.11,84,78,500,24,193
943,Navarra,3355,357.83,124,202,1488,124,421
950,País Vasco,9021,285.04,417,586,4856,211,3728
949,La Rioja,2846,645.21,66,160,918,127,994
