ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12639,1.64,770,1404,6260,7
936,Aragón,5656,19.18,267,826,2643,18
951,Asturias,2400,2.25,122,310,1098,1
947,Baleares,2124,9.13,165,209,1163,1
948,Canarias,2327,2.55,179,151,946,1
937,Cantabria,2297,6.88,79,202,1042,5
939,Castilla La Mancha,17068,19.68,647,2945,9254,0
938,Castilla y León,18682,23.25,547,1922,8568,8
940,Cataluña,58427,39.39,2978,5584,29220,39
941,Ceuta y Melilla,250,8.23,7,6,56,0
944,C. Valenciana,11160,5.58,733,1332,5744,8
945,Extremadura,2961,2.62,110,507,1765,3
946,Galicia,9115,3.15,329,608,2917,3
942,Madrid,68451,25.33,3544,8691,41972,67
952,Murcia,1593,3.28,112,148,680,3
943,Navarra,5223,20.64,135,490,2036,17
950,País Vasco,13489,7.65,574,1424,6957,1
949,La Rioja,4044,8.52,91,360,1483,0
