ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,90,1.07,3,0
936,Aragón,45,3.41,3,4
951,Asturias,32,3.13,2,0
947,Baleares,16,1.39,1,0
948,Canarias,37,1.49,1,0
937,Cantabria,12,2.07,0,0
939,Castilla La Mancha,71,3.49,5,0
938,Castilla y León,71,2.96,2,0
940,Cataluña,156,2.02,0,3
941,Ceuta y Melilla,0,0,0,0
944,C. Valenciana,65,1.28,1,1
945,Extremadura,9,0.84,1,0
946,Galicia,39,1.44,2,0
942,Madrid,1024,15.34,102,31
952,Murcia,11,0.74,0,0
943,Navarra,46,7.03,3,0
950,País Vasco,225,10.19,15,6
949,La Rioja,179,56.5,1,2
