ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,4682,50.45,201,207,2294,405,148
936,Aragón,1858,129.69,124,93,835,266,8
951,Asturias,1088,92.98,57,41,466,84,76
947,Baleares,958,79.69,71,29,345,96,82
948,Canarias,1125,47.18,78,39,425,100,30
937,Cantabria,1023,167.28,40,26,449,86,25
939,Castilla La Mancha,5246,238.33,299,539,3018,734,236
938,Castilla y León,5414,213.46,278,380,2408,623,752
940,Cataluña,15026,186.46,1391,1226,10688,763,3455
941,Ceuta y Melilla,69,23.59,4,2,26,7,0
944,C. Valenciana,4784,34.92,309,267,1874,750,161
945,Extremadura,1456,127.47,41,100,313,62,51
946,Galicia,3139,109.06,123,60,1043,367,153
942,Madrid,22677,287.14,1429,3082,14454,1157,7491
952,Murcia,872,53.62,58,20,260,70,16
943,Navarra,2011,279.42,90,84,896,182,125
950,País Vasco,5740,231.45,271,265,3106,604,1503
949,La Rioja,1629,419.51,43,68,497,193,397
