ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12341,6.35,745,1322,6092,26,9205
936,Aragón,5336,26.61,263,825,2595,20,3116
951,Asturias,2346,8.02,149,299,2197,3,1026
947,Baleares,1953,8.18,169,209,1126,3,1415
948,Canarias,2260,3.81,178,149,936,2,1391
937,Cantabria,2245,24.27,79,201,1027,1,1963
939,Castilla La Mancha,16387,35.57,624,2786,8918,44,6172
938,Castilla y León,17995,66.3,547,1905,8482,78,7453
940,Cataluña,54807,57.51,2995,5555,28820,83,24454
941,Ceuta y Melilla,229,11.105,7,6,55,0,267
944,C. Valenciana,10729,10.97,716,1330,5355,16,8945
945,Extremadura,2918,15.83,109,483,1725,6,2409
946,Galicia,9280,30.86,326,593,2902,27,7445
942,Madrid,64853,50.81,3529,8683,41650,31,39604
952,Murcia,1517,2.88,113,139,665,9,1786
943,Navarra,5065,50.75,135,490,2029,13,3070
950,País Vasco,13167,29.62,573,1423,6922,11,14718
949,La Rioja,4008,36.62,91,346,1475,0,2700
