ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,1287,15.05,38,30,605,228
936,Aragón,360,26.83,28,17,192,64
951,Asturias,344,33.14,7,2,133,142
947,Baleares,203,17.14,10,2,60,43
948,Canarias,287,12.82,25,4,139,61
937,Cantabria,144,23.06,7,1,92,71
939,Castilla La Mancha,1044,50.62,37,62,635,379
938,Castilla y León,1147,47.22,69,43,575,319
940,Cataluña,3270,42.29,33,82,1681,933
941,Ceuta y Melilla,30,17405,1,0,8,1
944,C. Valenciana,1105,21.48,71,33,476,258
945,Extremadura,297,27.25,4,10,65,57
946,Galicia,578,21.3,19,5,168,161
942,Madrid,7165,105.47,678,628,7388,1756
952,Murcia,204,13.66,11,0,61,36
943,Navarra,554,84.22,19,5,222,110
950,País Vasco,1465,64.32,53,71,654,260
949,La Rioja,497,147.73,15,7,128,67
