ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12161,17.7,729,1238,5936,113,6334
936,Aragón,5116,47.53,260,749,2494,25,2382
951,Asturias,2298,17.01,140,273,1938,15,860
947,Baleares,1894,19.66,167,193,1090,11,1245
948,Canarias,2206,9.15,176,136,914,1,1151
937,Cantabria,2184,69.01,79,192,1009,11,1509
939,Castilla La Mancha,15910,95.92,596,2498,8618,78,5615
938,Castilla y León,16993,127.82,531,1770,8010,108,6686
940,Cataluña,49307,143.2,2795,5061,26932,391,19640
941,Ceuta y Melilla,216,12.85,7,6,54,1,234
944,C. Valenciana,10347,17.21,694,1245,5126,16,7078
945,Extremadura,2811,14.52,108,451,1565,26,1960
946,Galicia,8848,60.23,313,555,2759,151,5816
942,Madrid,61829,83.97,3392,8222,40293,52,37154
952,Murcia,1488,4.35,109,132,638,2,1229
943,Navarra,4848,95.08,132,458,1977,33,2185
950,País Vasco,12824,69.62,544,1312,6607,123,11380
949,La Rioja,3936,122.79,88,333,1433,18,2220
