ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12401,4.04,754,1344,6146,42,10148
936,Aragón,5432,23.95,266,837,2637,43,3534
951,Asturias,2359,4.69,152,310,2268,3,1053
947,Baleares,1967,6.35,171,216,1136,9,1513
948,Canarias,2280,3.44,178,151,938,5,1506
937,Cantabria,2263,13.6,79,206,1031,7,2152
939,Castilla La Mancha,16513,29.66,635,2870,9001,43,6294
938,Castilla y León,18272,53.3,548,1930,8595,99,7672
940,Cataluña,55464,44.85,3050,5882,29382,151,25904
941,Ceuta y Melilla,235,11.16,7,6,55,0,279
944,C. Valenciana,10813,9.31,721,1358,5415,29,9708
945,Extremadura,2933,11.43,109,494,1772,10,2587
946,Galicia,9323,17.6,332,601,2921,6,8283
942,Madrid,66005,38.18,3574,8809,42057,49,40383
952,Murcia,1534,3.08,112,143,675,2,2034
943,Navarra,5116,40.97,136,500,2045,11,3550
950,País Vasco,13257,19.61,578,1454,7009,38,15256
949,La Rioja,4016,25.25,91,348,1488,2,2927
