ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12293,5.82,745,1326,6101,8,9297
936,Aragón,5359,26.91,264,828,2606,23,3186
951,Asturias,2351,7.72,150,304,2212,5,1031
947,Baleares,1953,7.22,170,210,1127,0,1423
948,Canarias,2268,3.76,178,151,937,8,1456
937,Cantabria,2246,22.54,79,203,1027,1,1981
939,Castilla La Mancha,16431,35.66,629,2811,8940,44,6181
938,Castilla y León,18048,60.8,547,1914,8493,53,7472
940,Cataluña,55144,55.65,2995,5621,29138,184,24966
941,Ceuta y Melilla,233,11.15,7,6,55,4,269
944,C. Valenciana,10740,10.71,717,1336,5360,11,9089
945,Extremadura,2919,15.73,109,487,1737,1,2422
946,Galicia,9291,27.93,326,595,2905,11,7820
942,Madrid,64972,43.46,3543,8720,41735,48,39751
952,Murcia,1517,2.81,112,139,665,0,1819
943,Navarra,5081,49.22,135,493,2039,16,3155
950,País Vasco,13176,27.72,574,1429,6929,9,14913
949,La Rioja,4008,35.04,91,347,1478,0,2749
