ID,CCAA,Casos,IA,UCI,Fallecidos
935,Andalucía,71,0.84,1,0
936,Aragón,38,2.88,3,3
951,Asturias,22,2.15,2,0
947,Baleares,13,1.13,1,0
948,Canarias,25,1.16,1,0
937,Cantabria,12,2.07,0,0
939,Castilla La Mancha,39,1.92,2,0
938,Castilla y León,56,2.33,2,0
940,Cataluña,124,1.62,0,3
941,Ceuta y Melilla,0,0,0,0
944,C. Valenciana,50,1,1,1
945,Extremadura,8,0.75,0,0
946,Galicia,22,0.81,2,0
942,Madrid,782,11.74,77,21
952,Murcia,9,0.6,0,0
943,Navarra,12,1.83,2,0
950,País Vasco,195,8.83,5,6
949,La Rioja,144,45.45,1,1
