ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12471,3.61,761,1358,6180,13,NA
936,Aragón,5520,23.72,267,843,2667,17,NA
951,Asturias,2373,5.67,119,303,1088,4,NA
947,Baleares,2005,8.44,169,219,1139,12,NA
948,Canarias,2294,2.93,178,155,942,0,NA
937,Cantabria,2273,11.36,79,208,1035,2,NA
939,Castilla La Mancha,16677,29.37,638,2900,9082,29,NA
938,Castilla y León,18549,46.68,551,1960,8729,37,NA
940,Cataluña,55825,31.93,2960,5981,29459,51,NA
941,Ceuta y Melilla,238,10.59,7,6,55,1,NA
944,C. Valenciana,10962,6.28,726,1370,5477,5,NA
945,Extremadura,2953,9.08,110,504,1778,1,NA
946,Galicia,9058,6.56,332,607,2935,2,NA
942,Madrid,66643,33.44,3600,8894,42350,92,NA
952,Murcia,1558,4.15,112,145,679,2,NA
943,Navarra,5202,40.66,136,503,2045,24,NA
950,País Vasco,13409,15.58,578,1470,7021,0,NA
949,La Rioja,4027,18.94,91,352,1498,3,NA
