ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11323,32.59,690,1013,5473,118,3229
936,Aragón,4886,116.65,248,637,2244,55,1178
951,Asturias,2348,68.64,122,200,1599,50,599
947,Baleares,1788,40.71,161,157,963,15,1005
948,Canarias,2067,19.41,163,119,826,20,813
937,Cantabria,2083,103.26,78,158,934,33,626
939,Castilla La Mancha,16796,304.69,531,2021,8173,171,4178
938,Castilla y León,15857,280.93,501,1493,7080,236,5366
940,Cataluña,41676,193.51,2409,4009,22375,1076,13934
941,Ceuta y Melilla,215,26.92,7,6,53,2,120
944,C. Valenciana,10018,53.64,646,1079,4827,81,4629
945,Extremadura,3186,104.71,112,389,1306,50,858
946,Galicia,8299,79.57,108,352,2609,114,1548
942,Madrid,56963,252.95,1111,7351,8191,2079,31762
952,Murcia,1646,25.91,103,117,612,2,662
943,Navarra,4697,224.09,128,385,1856,76,1123
950,País Vasco,12628,172.93,501,1081,6109,59,7124
949,La Rioja,3734,320.39,79,285,1282,29,1833
