ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,10595,49.95,665,865,5147,289,2224
936,Aragón,4338,140,282,514,2006,93,1012
951,Asturias,2096,75.67,114,166,1387,45,487
947,Baleares,1606,41.32,149,125,857,35,881
948,Canarias,1975,27.63,152,104,781,17,622
937,Cantabria,1823,104.98,76,132,873,27,363
939,Castilla La Mancha,14680,375.48,495,1755,7896,351,2998
938,Castilla y León,13697,285.47,306,1337,6306,517,4521
940,Cataluña,36505,215.16,2789,3756,23372,1308,16651
941,Ceuta y Melilla,200,50.85,7,6,52,3,54
944,C. Valenciana,9424,69.99,588,945,4465,211,3360
945,Extremadura,2762,101.43,109,342,1155,78,615
946,Galicia,7708,121.36,128,299,2471,111,1298
942,Madrid,49526,295.44,1244,6724,10116,1478,27433
952,Murcia,1520,32.06,97,109,574,33,513
943,Navarra,4246,267.34,124,252,1731,96,808
950,País Vasco,11475,210.03,471,902,5750,249,5428
949,La Rioja,3457,472.54,75,246,1182,37,1585
