ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,11845,30.71,702,1079,5616,235,3847
936,Aragón,5237,117.64,253,681,2340,183,1680
951,Asturias,2453,70,130,223,1705,34,665
947,Baleares,1861,35.93,167,168,1022,25,1047
948,Canarias,2113,12.96,169,121,855,19,969
937,Cantabria,2206,101.02,78,173,965,46,850
939,Castilla La Mancha,17557,249.3,546,2188,8304,236,4577
938,Castilla y León,17402,286.89,508,1582,7397,563,5777
940,Cataluña,44892,180.44,2478,4343,23647,1090,15477
941,Ceuta y Melilla,224,27.57,7,6,53,1,131
944,C. Valenciana,10692,54.52,650,1124,4917,154,5388
945,Extremadura,3260,92.44,113,407,1375,30,1237
946,Galicia,8805,75.83,92,375,2694,171,1676
942,Madrid,60487,249.27,981,7684,7077,1288,33645
952,Murcia,1721,24.43,104,124,624,26,766
943,Navarra,4994,216.9,129,409,1907,95,1445
950,País Vasco,13436,164.42,516,1167,6260,392,8136
949,La Rioja,3839,256.63,82,303,1331,47,1937
