ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12236,11.9,740,1281,6012,26,7679
936,Aragón,5231,35.63,260,788,2552,24,2790
951,Asturias,2310,8.99,142,287,2081,2,953
947,Baleares,1921,11.57,168,199,1122,11,1321
948,Canarias,2231,6.36,176,143,920,0,1223
937,Cantabria,2213,34.59,79,199,1018,6,1696
939,Castilla La Mancha,16144,53.67,612,2647,8765,64,5862
938,Castilla y León,17520,99.14,538,1847,8246,91,7036
940,Cataluña,50924,92.79,2871,5345,28085,153,22881
941,Ceuta y Melilla,228,13.405,7,6,54,8,254
944,C. Valenciana,10537,14.23,701,1291,5225,37,7747
945,Extremadura,2865,16.2,108,463,1650,13,2189
946,Galicia,9097,46.45,319,582,2811,46,6802
942,Madrid,63416,63.48,3465,8466,41031,116,38331
952,Murcia,1498,2.88,111,136,650,2,1465
943,Navarra,4966,66.49,135,476,2005,30,2628
950,País Vasco,13008,46.83,559,1364,6781,43,12749
949,La Rioja,3980,87.12,91,337,1458,13,2396
