ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos,Curados
935,Andalucía,12210,13.14,738,1267,5983,16,7230
936,Aragón,5207,39.64,260,770,2539,19,2704
951,Asturias,2308,11.34,142,284,2046,2,936
947,Baleares,1910,12.44,168,198,1110,2,1307
948,Canarias,2231,6.78,176,142,920,6,1190
937,Cantabria,2207,35.97,79,198,1015,1,1658
939,Castilla La Mancha,16080,56.28,609,2616,8725,30,5824
938,Castilla y León,17429,103.27,537,1832,8153,95,6935
940,Cataluña,50771,99.79,2856,5270,27745,405,22553
941,Ceuta y Melilla,220,12.815,7,6,54,0,246
944,C. Valenciana,10500,14.99,701,1279,5214,64,7655
945,Extremadura,2852,14.99,108,462,1629,3,2146
946,Galicia,9051,50.9,317,573,2792,40,6561
942,Madrid,62989,67.02,3442,8420,40851,143,38002
952,Murcia,1496,3.41,111,136,650,4,1381
943,Navarra,4936,70.47,134,471,1995,18,2562
950,País Vasco,12965,50.82,556,1353,6736,13,12251
949,La Rioja,3967,89.33,90,336,1452,6,2345
