ID,CCAA,Casos,IA,UCI,Fallecidos,Hospitalizados,Nuevos
935,Andalucía,12743,1.68,772,1404,6299,9
936,Aragón,5734,14.1,270,826,2659,3
951,Asturias,2425,3.13,124,311,1110,0
947,Baleares,2164,4.87,171,209,1186,0
948,Canarias,2361,2.6,180,151,948,4
937,Cantabria,2316,5.85,79,202,1046,0
939,Castilla La Mancha,17393,20.96,653,2945,9337,4
938,Castilla y León,19009,24.34,550,1928,8685,14
940,Cataluña,59163,29.21,2978,5587,29168,51
941,Ceuta y Melilla,285,24.76,7,6,58,7
944,C. Valenciana,11265,4.06,740,1332,5794,4
945,Extremadura,2973,2.34,110,508,1772,0
946,Galicia,9134,2.04,329,609,2932,1
942,Madrid,69236,21.4,3550,8691,42068,87
952,Murcia,1613,2.54,112,148,680,5
943,Navarra,5265,15.29,136,490,2038,4
950,País Vasco,13527,4.21,574,1424,6963,2
949,La Rioja,4054,5.68,91,362,1484,0
